"","NAME","Weight","WeightClass","REACH","SLPM","SAPM","STRA","STRD","TD","TDA","TDD","SUBA"
"178","Mats Nilsson",170,"welterweight",74,2.99,5.62,0.39,0.63,3.87,0.83,0.44,2.3
"179","Ning Guangyou",145,"featherweight",64,2.66,1.91,0.41,0.61,1.09,0.5,0.62,0.3
"180","Soichi Nishida",320,"heavyweight",NA,0,0,0,0,0,0,0,0
"181","Yosuke Nishijima",205,"lightheavyweight",NA,1.72,5.59,0.37,0.56,0,0,0,0
"182","Akiyo Nishiura",139,"catchweight",NA,1.59,1.26,0.57,0.57,0,0,0.52,0.3
"183","Anthony Njokuani",155,"lightweight",75,3.94,2.41,0.46,0.65,0.5,0.45,0.53,0.2
"184","Chidi Njokuani",170,"welterweight",NA,1.93,1.73,0.51,0.49,0,0,0.8,0
"185","Derrick Noble",170,"welterweight",NA,6.21,3.79,0.4,0.59,0,0,0,0
"186","Pedro Nobre",135,"bantamweight",NA,1.37,9.16,0.3,0.35,0,0,0,0
"187","Jacob Noe",205,"lightheavyweight",NA,0,0,0,0,0,0,0,0
"188","Minotauro Nogueira",240,"heavyweight",77,1.95,2.4,0.42,0.55,1.3,0.29,0.36,2.4
"189","Rogerio Nogueira",205,"lightheavyweight",75,2.39,2.27,0.34,0.6,0.67,0.44,0.62,0.8
"190","Alexandre Franca Nogueira",145,"featherweight",NA,0.6,4.18,0.2,0.57,0,0,0,0
"191","Talita Nogueira",145,"featherweight",NA,0,0,0,0,0,0,0,0
"192","Kyle Noke",170,"welterweight",76,3.23,2.09,0.5,0.64,1.53,0.54,0.66,0.8
"193","Nick Nolte",170,"welterweight",NA,0,0,0,0,0,0,0,0
"194","KJ Noons",155,"lightweight",72,3.68,3.78,0.35,0.65,0.08,0.2,0.68,0
"195","Sage Northcutt",170,"welterweight",71,3.58,1.96,0.52,0.58,1.81,0.34,0.41,0.6
"196","Jan Nortje",310,"heavyweight",NA,3.32,4.5,0.51,0.32,0,0,0.66,2.9
"197","Scott Norton",170,"welterweight",NA,0.67,0.34,0.3,0.6,2.52,0.25,0,0
"198","Jonatas Novaes",170,"welterweight",NA,0,0,0,0,0,0,0,0
"199","Jason Novelli",155,"lightweight",75,1.73,3.55,0.24,0.66,0.7,0.33,1,0
"200","Phillipe Nover",145,"featherweight",72,1.79,2.48,0.35,0.56,0.99,0.28,0.44,0.7
"201","Diego Nunes",145,"featherweight",67,2.72,2.59,0.43,0.58,1.18,0.44,0.65,0.6
